SITE_ID,VISIT_NO,INDEX_SITE_DEPTH
NLA12_MI-135,1,11.5
NLA12_MI-136,1,6.7
NLA12_MI-137,1,8.5
NLA12_MI-138,1,3.6
NLA12_MI-139,1,7
NLA12_MI-139,2,6.8
NLA12_MI-141,1,15.2
NLA12_MI-142,1,3.6
NLA12_MI-144,1,2.7
NLA12_MI-145,1,12
NLA12_MI-148,1,17
NLA12_MI-150,1,1.9
NLA12_MI-151,1,6.6
NLA12_MI-152,1,7
NLA12_MI-155,1,7.4
NLA12_MI-161,1,6
NLA12_MI-162,1,21.7
NLA12_MI-164,1,0.9
NLA12_MI-165,1,4.3
NLA12_MI-167,1,3
NLA12_MI-168,1,11.9
NLA12_MI-169,1,3.5
NLA12_MI-172,1,11.6
NLA12_MI-177,1,3.7
NLA12_MI-178,1,2.2
NLA12_MN-101,1,10
NLA12_MN-101,2,9.8
NLA12_MN-102,1,6.1
NLA12_MN-103,1,2
NLA12_MN-104,1,2.9
NLA12_MN-105,1,4.8
NLA12_MN-106,1,17.5
NLA12_MN-107,1,14.5
NLA12_MN-108,1,24
NLA12_MN-109,1,1.6
NLA12_MN-110,1,4.8
NLA12_MN-111,1,9.1
NLA12_MN-112,1,3.1
NLA12_MN-113,1,1.6
NLA12_MN-114,1,3.1
NLA12_MN-115,1,10.6
NLA12_MN-116,1,8.5
NLA12_MN-118,1,1
NLA12_MN-119,1,4
NLA12_MN-120,1,3.9
NLA12_MN-121,1,9.5
NLA12_MN-122,1,4
NLA12_MN-123,1,4.8
NLA12_MN-123,2,4.9
NLA12_MN-126,1,2.5
NLA12_MN-127,1,2
NLA12_MN-130,1,3.6
NLA12_MN-131,1,1.1
NLA12_MN-132,1,12
NLA12_MN-135,1,1.1
NLA12_MN-136,1,1.7
NLA12_MN-137,1,1.3
NLA12_MN-138,1,3.1
NLA12_MN-141,1,5.6
NLA12_MN-143,1,1.7
NLA12_MN-144,1,1.8
NLA12_MN-145,1,3.6
NLA12_MN-147,1,4.4
NLA12_MN-150,1,3.5
NLA12_MN-152,1,3.3
NLA12_MN-153,1,5.6
NLA12_MN-157,1,6
NLA12_MN-158,1,1.8
NLA12_MN-160,1,4
NLA12_MN-162,1,6.3
NLA12_MN-163,1,2.6
NLA12_MN-167,1,2.9
NLA12_MN-170,1,7.5
NLA12_MN-171,1,1.3
NLA12_MN-177,1,1.5
NLA12_MN-180,1,7.8
NLA12_MN-181,1,1.7
NLA12_MO-101,1,2.7
NLA12_MO-101,2,3.6
NLA12_MO-102,1,10.8
NLA12_MO-103,1,8.6
NLA12_MO-104,1,7.5
NLA12_MO-105,1,6.7
NLA12_MO-106,1,4.6
NLA12_MO-107,1,2.5
NLA12_MO-108,1,4.8
NLA12_MO-108,2,4.6
NLA12_MO-109,1,9.5
NLA12_MO-110,1,8.2
NLA12_MO-115,1,6.8
NLA12_MO-117,1,6.5
NLA12_MO-119,1,3.5
NLA12_MO-120,1,3.6
NLA12_MO-122,1,3.6
NLA12_MO-123,1,3.3
NLA12_MO-126,1,2.1
NLA12_MS-101,1,3.2
NLA12_MS-101,2,3.1
NLA12_MS-102,1,6.2
NLA12_MS-103,1,7.5
NLA12_MS-104,1,2.3
NLA12_MS-105,1,5.9
NLA12_MS-106,1,NA
NLA12_MS-107,1,5.2
NLA12_MS-112,1,2.5
NLA12_MS-113,1,NA
NLA12_MS-116,1,NA
NLA12_MS-116,2,6.9
NLA12_MS-119,1,6.2
NLA12_MS-125,1,NA
NLA12_MS-126,1,2.5
NLA12_MS-128,1,6.3
NLA12_MT-102,1,38.4
NLA12_MT-102,2,41.2
NLA12_MT-103,1,2.5
NLA12_MT-104,1,8.9
NLA12_MT-105,1,21
NLA12_MT-106,1,16.5
NLA12_MT-107,1,2.7
NLA12_MT-108,1,4.4
NLA12_MT-109,1,7.8
NLA12_MT-110,1,16.5
NLA12_MT-111,1,50
NLA12_MT-113,1,5.8
NLA12_MT-118,1,2.2
NLA12_MT-119,1,1.5
NLA12_MT-120,1,4.3
NLA12_MT-124,1,13.1
NLA12_MT-126,1,1.4
NLA12_MT-135,1,7.2
NLA12_MT-136,1,41
NLA12_MT-138,1,3.7
NLA12_MT-140,1,18
NLA12_MT-142,1,1.5
NLA12_MT-143,1,5.6
NLA12_MT-144,1,3.5
NLA12_MT-151,1,1.6
NLA12_MT-152,1,12.5
NLA12_MT-154,1,1
NLA12_MT-156,1,12.1
NLA12_MT-160,1,3.7
NLA12_MT-161,1,6.8
NLA12_MT-162,1,22
NLA12_MT-164,1,30
NLA12_MT-164,2,40
NLA12_MT-177,1,2
NLA12_NC-101,1,10.7
NLA12_NC-101,2,18.7
NLA12_NC-103,1,6
NLA12_NC-104,1,1.7
NLA12_NC-105,1,42.5
NLA12_NC-107,1,3.4
NLA12_NC-108,1,11.7
NLA12_NC-109,1,8.6
NLA12_NC-114,1,4.1
NLA12_NC-115,1,2.4
NLA12_NC-116,1,2.9
NLA12_NC-116,2,2.8
NLA12_NC-124,1,5.1
NLA12_NC-127,1,6.5
NLA12_NC-134,1,4.3
NLA12_ND-101,1,3.7
NLA12_ND-101,2,4
NLA12_ND-102,1,3.5
NLA12_ND-103,1,3.1
NLA12_ND-104,1,6.5
NLA12_ND-105,1,12.4
NLA12_ND-106,1,3.9
NLA12_ND-107,1,2.3
NLA12_ND-108,1,1.9
NLA12_ND-109,1,4.5
NLA12_ND-110,1,1.8
NLA12_ND-112,1,6
NLA12_ND-113,1,2.7
NLA12_ND-114,1,1.9
NLA12_ND-115,1,9
NLA12_ND-115,2,10
NLA12_ND-118,1,4
NLA12_ND-119,1,2
NLA12_ND-126,1,2
NLA12_ND-129,1,2.1
NLA12_ND-131,1,15
NLA12_ND-134,1,5.1
NLA12_ND-139,1,3.5
NLA12_ND-145,1,3
NLA12_ND-146,1,2.3
NLA12_ND-149,1,4.3
NLA12_ND-151,1,2.5
NLA12_ND-155,1,1.7
NLA12_ND-156,1,4.5
NLA12_ND-160,1,3.1
NLA12_ND-162,1,3
NLA12_ND-163,1,2.5
NLA12_ND-164,1,4.8
NLA12_ND-167,1,4
NLA12_ND-172,1,3.3
NLA12_ND-173,1,2.8
NLA12_ND-178,1,7.5
NLA12_ND-186,1,1.5
NLA12_ND-187,1,10.7
NLA12_ND-190,1,1.1
NLA12_ND-193,1,3.4
NLA12_ND-194,1,2.4
NLA12_ND-196,1,4
NLA12_ND-198,1,1.9
NLA12_ND-199,1,1.9
NLA12_ND-202,1,2.1
NLA12_NE-101,1,10.2
NLA12_NE-101,2,8.8
NLA12_NE-102,1,1.6
NLA12_NE-103,1,4.4
NLA12_NE-104,1,2.7
NLA12_NE-105,1,3
NLA12_NE-106,1,2.8
NLA12_NE-107,1,1.1
NLA12_NE-108,1,1.6
NLA12_NE-109,1,6
NLA12_NE-110,1,1.5
NLA12_NE-111,1,2.4
NLA12_NE-112,1,1.4
NLA12_NE-113,1,2.5
NLA12_NE-114,1,10.5
NLA12_NE-121,1,1.6
NLA12_NE-125,1,1.5
NLA12_NE-127,1,1
NLA12_NE-129,1,2
NLA12_NE-129,2,2.2
NLA12_NE-133,1,1.2
NLA12_NE-135,1,1
NLA12_NE-149,1,1.4
NLA12_NE-154,1,2.5
NLA12_NE-156,1,1
NLA12_NE-157,1,21.6
NLA12_NE-158,1,2.9
NLA12_NE-160,1,7.5
NLA12_NE-166,1,5.3
NLA12_NE-170,1,3.5
NLA12_NH-101,1,6.1
NLA12_NH-101,2,5.8
NLA12_NH-102,1,3.1
NLA12_NH-103,1,43.9
NLA12_NH-104,1,9.1
NLA12_NH-105,1,2.5
NLA12_NH-107,1,2.4
NLA12_NH-108,1,2.7
NLA12_NH-109,1,18.9
NLA12_NH-111,1,5.5
NLA12_NH-112,1,4.1
NLA12_NH-112,2,4.1
NLA12_NH-115,1,4.3
NLA12_NJ-101,1,5.6
NLA12_NJ-101,2,2.8
NLA12_NJ-102,1,2.4
NLA12_NJ-103,1,7.5
NLA12_NJ-104,1,3.6
NLA12_NJ-105,1,1.4
NLA12_NJ-106,1,4.4
NLA12_NJ-107,1,2.9
NLA12_NJ-108,1,2.1
NLA12_NJ-118,1,4.3
NLA12_NJ-119,1,3.1
NLA12_NJ-131,1,1.6
NLA12_NJ-131,2,1.8
NLA12_NM-104,1,20.5
NLA12_NM-104,2,14
NLA12_NM-105,1,1.6
NLA12_NM-117,1,9.4
NLA12_NM-117,2,8.8
NLA12_NM-129,1,14
NLA12_NM-132,1,3.2
NLA12_NM-133,1,1.9
NLA12_NM-134,1,16.9
NLA12_NM-138,1,8
NLA12_NM-150,1,1.9
NLA12_NM-152,1,1
NLA12_NM-160,1,3.4
NLA12_NM-161,1,2.5
NLA12_NM-162,1,5.8
NLA12_NV-101,1,1.1
NLA12_NV-101,2,1
NLA12_NV-102,1,2.1
NLA12_NV-103,1,2
NLA12_NV-104,1,6.2
NLA12_NV-105,1,5.2
NLA12_NV-106,1,1.2
NLA12_NV-109,1,44.4
NLA12_NV-119,1,3
NLA12_NV-119,2,2.2
NLA12_NV-127,1,2.2
NLA12_NV-137,1,6.4
NLA12_NV-141,1,4
NLA12_NV-144,1,1.7
NLA12_NV-167,1,1.5
NLA12_NV-177,1,5.4
NLA12_NV-193,1,3.9
NLA12_NY-0101,1,42.3
NLA12_NY-0101,2,43.7
NLA12_NY-0102,1,3
NLA12_NY-0103,1,5.8
NLA12_NY-0104,1,2.6
NLA12_NY-0104,2,2.5
NLA12_NY-0106,1,7
NLA12_NY-0108,1,1.7
NLA12_NY-0109,1,4.8
NLA12_NY-0110,1,4.6
NLA12_NY-0111,1,5.7
NLA12_NY-0112,1,3.8
NLA12_OH-101,1,3.2
NLA12_OH-101,2,3
NLA12_OH-102,1,1
NLA12_OH-103,1,9
NLA12_OH-104,1,4.1
NLA12_OH-105,1,1.5
NLA12_OH-106,1,8.1
NLA12_OH-107,1,4.2
NLA12_OH-112,1,7.9
