SITE_ID,VISIT_NO,MICL_RESULT_ppb
NLA12_FL-108,1,0.16602
NLA12_FL-R06,1,0
NLA12_ID-166,1,0
NLA12_ME-110,1,0
NLA12_MS-128,1,0.06843
NLA12_SD-107,1,0.03993
NLA12_VA-102,1,0.08749
NLA12_WA-R08,1,0.04954
NLA12_ND-160,1,0.0967
NLA12_NH-107,1,0.10202
NLA12_IN-127,1,0
NLA12_ID-110,1,0.06892
NLA12_SD-119,1,0.16987
NLA12_MD-108,1,5.09822
NLA12_ND-194,1,4.7213
NLA12_OR-129,1,0.04531
NLA12_CA-128,1,0.15361
NLA12_VA-119,1,14.65045
NLA12_VA-R06,1,0.09647
NLA12_ME-106,1,0
NLA12_MS-113,1,0.0588
NLA12_OH-102,1,0.07707
NLA12_MN-104,1,0
NLA12_MN-131,1,0
NLA12_IN-111,1,2.35204
NLA12_WY-R02,1,0
NLA12_MN-143,1,0.81
NLA12_CT-126,1,0.07066
NLA12_IN-101,1,0.04793
NLA12_VA-106,1,0
NLA12_ID-203,1,0.05652
NLA12_ID-122,1,0.07755
NLA12_IN-130,1,0.09266
NLA12_ID-198,1,0.04933
NLA12_IN-113,1,0.06907
NLA12_UT-167,1,0.07141
NLA12_PA-117,1,2.93
NLA12_PA-106,1,0
NLA12_ME-103,1,0
NLA12_OK-288,1,0.13355
NLA12_OR-107,1,0
NLA12_MS-116,2,0.08891
NLA12_WA-R10,1,0.07041
NLA12_OR-145,1,0.06721
NLA12_MT-110,1,0
NLA12_MT-152,1,0.06991
NLA12_WY-133,1,0
NLA12_IN-147,1,0.0552
NLA12_VA-101,2,0.07148
NLA12_VA-R05,1,0.14536
NLA12_OH-137,1,0.52865
NLA12_TX-113,1,0.11727
NLA12_WA-R09,1,0.04472
NLA12_UT-196,1,0.04892
NLA12_ND-202,1,0.34674
NLA12_ND-198,1,0.11212
NLA12_ND-190,1,1.67403
NLA12_ME-121,1,0
NLA12_OH-134,1,0.35759
NLA12_ID-104,1,0.14371
NLA12_CO-121,1,0.09487
NLA12_WA-102,1,0.05187
NLA12_CO-117,1,0
NLA12_WY-115,1,0
NLA12_ND-145,1,0.30162
NLA12_IN-134,1,0.15883
NLA12_ME-130,1,0
NLA12_ND-131,1,0.12614
NLA12_CA-188,1,16.2041
NLA12_MT-124,1,0
NLA12_SD-147,1,37.6071
NLA12_OR-105,1,0
NLA12_MN-121,1,0.18
NLA12_DE-101,1,0.16271
NLA12_SD-137,1,0.05469
NLA12_TX-104,1,0.08141
NLA12_WI-144,1,0
NLA12_MN-119,1,0.16
NLA12_VA-R18,1,2.43726
NLA12_OK-132,1,0.03743
NLA12_CA-119,1,0
NLA12_WA-R11,1,0
NLA12_OR-154,1,0.47105
NLA12_MN-103,1,0.19
NLA12_IN-144,1,0.08965
NLA12_IN-110,1,0.44725
NLA12_IN-105,1,0.12557
NLA12_WI-R12,1,0.04256
NLA12_ID-101,2,0.05854
NLA12_OK-292,1,0.18119
NLA12_MN-106,1,0
NLA12_MN-115,1,0
NLA12_CO-R04,1,0
NLA12_AL-113,1,0
NLA12_NC-104,1,0.06819
