SITE_ID,VISIT_NO,d18O,dD,d_excess,E_I,RT_iso,RT_modeled,Lk_vol_m3
NLA17_NE-10038,1,-6.82,-55.63,-1.07,0.28,0.367363363,0.484516803,435279.1539
NLA17_NE-10040,1,-2.45,-35.63,-16.03,0.345,0.22486514,0.771727383,22408.151
NLA17_NE-10041,1,-2.17,-19.45,-2.09,0.501,0.649342818,0.427487197,517859.1399
NLA17_NE-10046,1,-1.78,-36.61,-22.37,0.599,0.381114618,0.131389977,134515.8396
NLA17_NE-10047,1,-0.12,-10.73,-9.77,0.895,0.742673484,0.552507067,22675.8565
NLA17_NE-10054,1,-5.06,-43.83,-3.35,0.139,0.856485896,0.446478471,485725.6137
NLA17_NE-10059,1,-2.41,-39.41,-20.13,0.29,1.244839878,0.766076953,141122.5438
NLA17_NE-10060,1,-3.75,-28.76,1.24,0.263,0.428206327,0.34189644,868495.3747
NLA17_NE-10061,1,-9.25,-86.58,-12.58,0.397,1.959034337,1.170006614,712389.2381
NLA17_NE-10064,1,-9.07,-76.77,-4.21,0.286,1.014388468,98.92553541,69536.0542
NLA17_NE-10067,1,-8.06,-68.99,-4.51,0.316,0.479789084,0.737129459,85302.9071
NLA17_NE-10068,1,0.33,-9.19,-11.83,0.958,0.316702013,0.595953149,19706.1203
NLA17_NE-10070,1,-4.39,-41.49,-6.37,0.166,2.011878954,0.54648687,68298.7632
NLA17_NE-10072,1,-0.69,-11.17,-5.65,0.787,0.592250057,0.444880009,25178.2681
NLA17_NE-10073,1,-0.92,-31.27,-23.91,0.692,0.515633561,0.542878218,197473.8635
NLA17_NE-HP004,1,-11.26,-93.04,-2.96,0.235,1.003758988,0.244504013,17242821.18
NLA17_NE-HP005,1,-2.99,-34.14,-10.22,0.441,0.856716724,0.735941146,163616.0913
NLA17_NH-10001,1,-9.18,-60.94,12.5,0.013,0.037226159,0.021229896,195557.5136
NLA17_NH-10002,1,-9.41,-67.37,7.91,0.068,0.119171047,0.148270028,113190.3015
NLA17_NH-10003,1,-6.16,-43.77,5.51,0.15,3.523327087,0.083047738,235558325.2
NLA17_NH-10004,1,-7.56,-51.85,8.63,0.05,0.085550956,0.184468884,543976.5067
NLA17_NH-10006,1,-8.28,-58,8.24,0.054,0.384498948,0.033367894,1919364.58
NLA17_NH-10052,1,-7.48,-53.89,5.95,0.06,0.073390214,0.081545868,254018.5163
NLA17_NH-10058,1,-6.05,-45.79,2.61,0.105,0.067309848,0.110153871,68274.4287
NLA17_NH-10059,1,-8.48,-60.41,7.43,0.037,0.045049811,0.264999409,88817.0059
NLA17_NH-10063,1,-10.38,-69.07,13.97,0,NA,0.065708671,729953.5798
NLA17_NH-10066,1,-7.66,-56.08,5.2,0.065,0.464273877,0.181652786,1403796.81
NLA17_NH-10067,1,-7.86,-55.84,7.04,0.075,0.252215319,0.115244205,1322821.208
NLA17_NH-10530,1,-7.11,-49.42,7.46,0.076,0.528316135,0.222241314,660251.2068
NLA17_NH-10891,1,-5.45,-44.63,-1.03,0.206,2.062691947,0.229601781,2716117.143
NLA17_NH-10917,1,-9.76,-69.49,8.59,0.026,0.0347727,0.218759277,270206.5204
NLA17_NH-10999,1,-10.67,-75.13,10.23,0,NA,0.187797685,10009299.35
NLA17_NJ-10001,1,-6.78,-43.28,10.96,0,NA,0.159121949,229774.6566
NLA17_NJ-10002,1,-3.1,-26.49,-1.69,0.355,0.261175447,0.241046528,327225.8739
NLA17_NJ-10003,1,-5.77,-34.41,11.75,0,NA,0.100679957,437333.0723
NLA17_NJ-10004,1,-5.72,-34.99,10.77,0.026,0.017612674,0.202981439,62202.2201
NLA17_NJ-10005,1,-5.69,-37.27,8.25,0.041,0.035699933,0.263708306,188933.9269
NLA17_NJ-10006,1,-5.4,-35.76,7.44,0.1,0.248051899,0.288684441,152053.2623
NLA17_NJ-10008,1,-0.84,-11.04,-4.32,0.718,0.227053767,0.262084662,10769.165
NLA17_NJ-10009,1,-3.31,-28.58,-2.1,0.398,0.166963712,0.295947093,19404.7917
NLA17_NJ-10010,1,-4.01,-27.81,4.27,0.169,0.147711871,0.395436409,23118.7696
NLA17_NJ-10023,1,-3.1,-26.02,-1.22,0.328,0.761522527,0.293968129,2601944.415
NLA17_NJ-10025,1,-5.57,-38.25,6.31,0.153,0.131652546,0.175183913,15681.4103
NLA17_NM-10001,1,-11.92,-83.83,11.53,0,NA,0.257369573,2644625.612
NLA17_NM-10002,1,-1.84,-28.17,-13.45,0.386,0.797621676,0.547819638,4104094.821
NLA17_NM-10003,1,-4.6,-42.38,-5.58,0.19,0.80173893,0.544527722,11552719.05
NLA17_NM-10004,1,-0.8,-22.05,-15.65,0.474,0.589951976,0.638008653,192808.6509
NLA17_NM-10005,1,-10.45,-83.19,0.41,0.08,0.492662169,0.083442049,557740.6192
NLA17_NM-10006,1,-12.61,-94.13,6.75,0.065,0.221573453,0.34999259,47596.3831
NLA17_NM-10022,1,-7.71,-65.48,-3.8,0.249,0.722290745,0.642944694,6692546.665
NLA17_NM-10024,1,-11.67,-86,7.36,0.013,0.355968405,0.763175374,1584625.266
NLA17_NM-10025,1,-9.12,-77.05,-4.09,0.059,0.268948168,0.2054114,45513.0183
NLA17_NM-10037,1,-11.77,-86.41,7.75,0.04,0.092671225,0.23920058,164384.9685
NLA17_NM-10041,1,-1.53,-31,-18.76,0.422,0.685649264,0.57466475,1503231.213
NLA17_NM-10044,1,-6.63,-50.62,2.42,0.092,0.423447882,0.232868544,840468.7776
NLA17_NM-10049,1,-12.31,-91.37,7.11,0.05,0.391581874,0.518197028,78842301.33
NLA17_NV-10002,1,-8.29,-82.86,-16.54,0.231,0.122045592,0.257384349,262706.9177
NLA17_NV-10003,1,-15,-117.12,2.88,0.107,0.534850273,0.269762507,7076012.686
NLA17_NV-10005,1,-2.56,-39.93,-19.45,0.516,10.34763733,0.247112652,7198725627
NLA17_NV-10006,1,-15.69,-118.12,7.4,0.04,0.171329487,0.066459739,133267.3837
