SITE_ID,VISIT_NO,MAGNESIUM_mgL,DOC_mgL,SILICA_mgL,CHLORIDE_mgL,COND_USCM,NITRATE_N_mgL,PH,CHLA_ugL,NTL_mgL,TURB_NTL,AMMONIA_N_mgL,POTASSIUM_mgL,SULFATE_mgL,SODIUM_mgL,COLOR_ALPHA,ANC_ueqL,CALCIUM_mgL,PTL_ugL,NITRITE_N_mgL,ALUMINUM_mgL,NITRATE_NITRITE_N_mgL,TKN_mgL,BATCH_ID
NLA17_MN-10046,1,31.134,9.98,10.093,15.854,435.4,0,8.51,7.64,1.071,4.77,0.018,6.716,11.461,6.762,7,3940.87,33.642,26.60875,0,NA,NA,NA,NA
NLA17_SD-10007,1,157.927,20.64,36.759,16.981,1626,0,8.82,86.88,3.65,48.11,0.033,39.92,575.436,56.999,22,7365.11,41.622,239.6025,0,NA,NA,NA,NA
NLA17_NE-10003,1,2.996,2.3,42.839,0.935,148.9,0.5026,8.13,27.2,1.066,9.96,0.053,4.503,3.931,5.679,20,1308.47,18.47,295.09,0.003,NA,NA,NA,NA
NLA17_SC-10011,1,1.463,2.19,11.077,3.381,49.3,0,7.5,13.92,0.25,3.07,0.004,1.356,1.045,3.591,18,340.74,3.276,26.47125,0,NA,NA,NA,NA
NLA17_MA-10007,1,1.923,4.41,0.303,64.063,265.5,0.0276,7.11,3.89,0.416,1.11,0.016,2.756,6.878,38.971,20,205.89,6.706,19.205,0,NA,NA,NA,NA
NLA17_CO-10002,1,9.167,3.35,4.49,3.468,258,0,8.09,4.76,0.244,3.9,0.007,1.294,55.203,8.523,9,1193.18,27.46,19.81875,0,NA,NA,NA,NA
NLA17_IA-HP001,1,13.935,3.98,0.986,147.825,735.2,0,8.33,7.61,0.473,1.63,0.008,2.503,25.229,87.518,2,1756.64,36.069,15.91,0,NA,NA,NA,NA
NLA17_PA-10001,1,5.876,2.69,0.09,12.216,190,0.7546,8.31,4.84,1.146,1.31,0.02,1.808,17.698,7.82,9,937.34,18.557,9.42125,0.004,NA,NA,NA,NA
NLA17_IN-10138,1,13.958,3.49,1.675,20.817,334.5,0,8.5,6.38,0.518,3.09,0.013,2.873,13.887,12.509,5,2408.98,31.699,21.4475,0,NA,NA,NA,NA
NLA17_MN-10006,1,2.536,6.97,1.623,0.877,55.6,0,7.83,5.1,0.661,2.44,0.02,0.115,0.026,1.559,35,469.65,5.981,33.565,0,NA,NA,NA,NA
NLA17_MN-10047,1,4.849,4.93,1.202,0.179,103.9,0,8.24,5.15,0.56,1.98,0.01,0.07,0.058,1.356,5,1003.8,12.758,19.5675,0,NA,NA,NA,NA
NLA17_IA-10030,1,18.75,10.23,11.943,1.945,258,0,9.02,170.4,4.55,46.16,0.021,7.251,8.659,5.15,33,2496.34,15.734,421.485,0,NA,NA,NA,NA
NLA17_LA-10018,1,1.485,10.91,2.089,3.297,73.8,0,7.31,84.8,1.389,18.81,0.014,3.041,0.718,6.416,55,580.26,5.495,251.98,0,NA,NA,NA,NA
